"Individual","Age","TreeError","ResidError","Size"
14,16,17.1506498688328,2.89996103430331,56.0506109031361
15,17,17.1506498688328,3.08126451405246,57.2319143828853
16,18,17.1506498688328,2.94237315161342,58.0930230204462
1,19,17.1506498688328,2.94813733751331,59.0987872063461
2,20,17.1506498688328,3.33341773863964,60.4840676074725
3,10,4.60916205989202,2.96275770684723,37.5719197667392
4,11,4.60916205989202,3.60713425536606,39.2162963152581
5,12,4.60916205989202,3.38664769354731,39.9958097534393
6,13,4.60916205989202,3.71842965746301,41.327591717355
7,14,4.60916205989202,4.81526867061235,43.4244307305044
8,15,4.60916205989202,5.25045016144616,44.8596122213382
9,16,4.60916205989202,4.92451857591493,45.533680635807
10,17,4.60916205989202,6.07332619436602,47.682488254258
11,18,4.60916205989202,7.06683005032814,49.6759921102202
12,19,4.60916205989202,7.61522700983621,51.2243890697282
13,20,4.60916205989202,7.85395874494766,52.4631208048397
14,10,-12.6506123460653,7.22605266890828,24.5754403228429
15,11,-12.6506123460653,8.58670511743829,26.9360927713729
16,12,-12.6506123460653,7.98644553029116,27.3358331842258
1,13,-12.6506123460653,10.1737785233077,30.5231661772424
2,14,-12.6506123460653,11.7063891494929,33.0557768034276
3,15,-12.6506123460653,11.4706887903925,33.8200764443271
4,16,-12.6506123460653,10.4442678900857,33.7936555440203
5,17,-12.6506123460653,9.73386132638637,34.083248980321
6,18,-12.6506123460653,9.9907450355429,35.3401326894776
7,19,-12.6506123460653,9.74405315708053,36.0934408110152
8,20,-12.6506123460653,9.39651055768279,36.7458982116175
9,10,-6.86852851893526,8.44489199041778,31.5763634714825
10,11,-6.86852851893526,8.39986426560886,32.5313357466736
11,12,-6.86852851893526,7.61495979615178,32.7464312772165
12,13,-6.86852851893526,5.94701785956365,32.0784893406284
13,14,-6.86852851893526,5.56679133927588,32.6982628203406
14,15,-6.86852851893526,6.48578794833665,34.6172594294014
15,16,-6.86852851893526,5.91044098572826,35.041912466793
16,17,-6.86852851893526,6.51840530795329,36.649876789018
1,18,-6.86852851893526,4.90052259966413,36.0319940807289
2,19,-6.86852851893526,4.84496063413959,36.9764321152043
3,20,-6.86852851893526,5.36436783808305,38.4958393191478
4,10,-4.45661970099958,5.66552120024976,31.2089014992502
5,11,-4.45661970099958,5.77119739439871,32.3145776933991
6,12,-4.45661970099958,5.13049138609333,32.6738716850938
7,13,-4.45661970099958,4.28078704005975,32.8241673390602
8,14,-4.45661970099958,3.25665824945484,32.8000385484553
9,15,-4.45661970099958,3.37430484655496,33.9176851455554
10,16,-4.45661970099958,2.42683023237016,33.9702105313706
11,17,-4.45661970099958,1.93627278866949,34.4796530876699
12,18,-4.45661970099958,1.68018059647124,35.2235608954717
13,19,-4.45661970099958,3.52404260170345,38.0674229007039
14,20,-4.45661970099958,2.87209270000799,38.4154729990084
15,10,12.2408179743946,3.10747927229285,45.3482972466875
16,11,12.2408179743946,3.18544012185656,46.4262580962512
1,12,12.2408179743946,2.22358348772643,46.464401462121
2,13,12.2408179743946,2.15227540160283,47.3930933759975
3,14,12.2408179743946,3.59682626002618,49.8376442344208
4,15,12.2408179743946,4.0483303131054,51.2891482875
5,16,12.2408179743946,4.08956323509834,52.330381209493
6,17,12.2408179743946,3.66706640275871,52.9078843771533
7,18,12.2408179743946,1.6138191812182,51.8546371556128
8,19,12.2408179743946,2.74515639463237,53.985974369027
9,20,12.2408179743946,1.28451632370755,53.5253342981022
10,10,3.59813827057364,2.02446383458488,35.6226021051585
11,11,3.59813827057364,3.93356740380237,38.531705674376
12,12,3.59813827057364,2.48967424283057,38.0878125134042
13,13,3.59813827057364,3.19145857820528,39.7895968487789
14,14,3.59813827057364,2.92926108880281,40.5273993593764
15,15,3.59813827057364,1.35711692965732,39.955255200231
16,16,3.59813827057364,-0.157550724124428,39.4405875464492
1,17,3.59813827057364,-1.75908689769902,38.8390513728746
2,18,3.59813827057364,-2.28999341986932,39.3081448507043
3,19,3.59813827057364,-3.75174900486522,38.8463892657084
4,20,3.59813827057364,-3.0638322318894,40.5343060386842
5,10,4.00771450594052,-0.963723291363725,33.0439912145768
6,11,4.00771450594052,-2.2507537673989,32.7569607385416
7,12,4.00771450594052,-1.46301491992373,34.5446995860168
8,13,4.00771450594052,-0.693972678922816,36.3137418270177
9,14,4.00771450594052,-0.361770099972698,37.6459444059678
10,15,4.00771450594052,-1.37014670824971,37.6375677976908
11,16,4.00771450594052,-1.48959931488036,38.5181151910602
12,17,4.00771450594052,-1.76999465005061,39.2377198558899
13,18,4.00771450594052,-1.20700511683013,40.8007093891104
14,19,4.00771450594052,-1.57944387293396,41.4282706330066
15,20,4.00771450594052,-0.602470486248339,43.4052440196922
16,10,1.1068271594512,-0.977051344015353,30.1297758154358
1,11,1.1068271594512,0.0756601215639787,32.1824872810152
2,12,1.1068271594512,-0.973516885102087,32.1333102743491
3,13,1.1068271594512,-2.2336721298602,31.873155029591
4,14,1.1068271594512,1.00736780508221,36.1141949645334
5,15,1.1068271594512,0.590510216921774,36.697337376373
6,16,1.1068271594512,0.888737808462489,37.9955649679137
7,17,1.1068271594512,1.52530748249634,39.6321346419475
8,18,1.1068271594512,1.04152685678759,40.1483540162388
9,19,1.1068271594512,1.5583889011012,41.6652160605524
10,20,1.1068271594512,1.92735342848629,43.0341805879375
11,10,-5.55841134754075,1.7119729208446,26.1535615733038
12,11,-5.55841134754075,1.77726595436991,27.2188546068292
13,12,-5.55841134754075,1.74319870063145,28.1847873530907
14,13,-5.55841134754075,3.87165059964763,31.3132392521069
15,14,-5.55841134754075,3.1303145033748,31.571903155834
16,15,-5.55841134754075,2.03431823630013,31.4759068887594
1,16,-5.55841134754075,2.07210663547121,32.5136952879305
2,17,-5.55841134754075,2.38258738491435,33.8241760373736
3,18,-5.55841134754075,2.81911086382453,35.2606995162838
4,19,-5.55841134754075,2.36074553111343,35.8023341835727
5,20,-5.55841134754075,1.29741939714224,35.7390080496015
6,10,17.8691313680308,2.56060457323173,50.4297359412625
7,11,17.8691313680308,2.21095418527817,51.080085553309
8,12,17.8691313680308,1.3454413226248,51.2145726906556
9,13,17.8691313680308,1.1091617536837,51.9782931217145
10,14,17.8691313680308,0.911985859335149,52.7811172273659
11,15,17.8691313680308,2.02190614904879,54.8910375170796
12,16,17.8691313680308,2.10664344124599,55.9757748092768
13,17,17.8691313680308,2.86069722643051,57.7298285944613
14,18,17.8691313680308,2.36140520925825,58.230536577289
15,19,17.8691313680308,2.57585051883985,59.4449818868706
16,20,17.8691313680308,2.25116460734901,60.1202959753798
