"Field","Bison","Fertilizer","Water","WaterMed","WaterHigh","FieldError","BisonError","FertError","Error","Biomass"
5,1,1,"Low",0,0,0.129287735160946,3.57382627360616,-0.123823421153443,-1.02642090030678,42.5528696873069
5,1,1,"Medium",1,0,0.129287735160946,3.57382627360616,-0.123823421153443,-0.710406563699301,52.8688840239144
5,1,1,"High",0,1,0.129287735160946,3.57382627360616,-0.123823421153443,0.25688370915653,53.8361742967702
6,0,0,"Low",0,0,1.71506498688328,0.995700956458479,-0.611925327479834,-0.246691878462374,21.8521487373995
6,0,0,"Medium",1,0,1.71506498688328,0.995700956458479,-0.611925327479834,-0.347542599397733,31.7512980164642
6,0,0,"High",0,1,1.71506498688328,0.995700956458479,-0.611925327479834,-0.951618567265016,31.1472220485969
6,0,1,"Low",0,0,1.71506498688328,0.995700956458479,-0.760942002024765,-0.0450277248089203,31.9047962165081
6,0,1,"Medium",1,0,1.71506498688328,0.995700956458479,-0.760942002024765,-0.784904469457076,41.1649194718599
6,0,1,"High",0,1,1.71506498688328,0.995700956458479,-0.760942002024765,-1.66794193658814,40.2818820047289
6,1,0,"Low",0,0,1.71506498688328,-3.93323431325928,-1.38941395784103,-0.380226520287762,26.0121901954952
6,1,0,"Medium",1,0,1.71506498688328,-3.93323431325928,-1.38941395784103,0.918996609060766,37.3114133248437
6,1,0,"High",0,1,1.71506498688328,-3.93323431325928,-1.38941395784103,-0.575346962608392,35.8170697531746
6,1,1,"Low",0,0,1.71506498688328,-3.93323431325928,-0.415834556039198,0.607964322225033,37.9739604398098
6,1,1,"Medium",1,0,1.71506498688328,-3.93323431325928,-0.415834556039198,-1.61788270828916,45.7481134092956
6,1,1,"High",0,1,1.71506498688328,-3.93323431325928,-0.415834556039198,-0.0555619655245394,47.3104341520603
